startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
2019,12,31,,,,,,,Timeline title,,,,,,title,,,
2020,2,27,,2020,2,27,,,Coronavirus appears in the Basque Country,"<p>The coronavirus arrived in Gipuzkoa on February 27, 2020 after a young woman contracted the virus in Italy.",,,,,,,,
2020,3,2,,,,,,,Euskadi: focus of contagion,"<p>Spain is one of the seven countries with more than 100 cases. It has five outbreaks, two of which are extremely worrying: Torrejón de Ardoz in Madrid and Gasteiz in the Basque Country. In view of this situation, Fernando Simón, spokesman for the Ministry of Health during the pandemic, said that it was possible to eliminate classes and work in person",https://cdnuploads.aa.com.tr/uploads/Contents/2020/09/01/thumbs_b_c_4b57264f5bc124204eb77f10854568d8.jpg?v=204646,,,,,,,
2020,3,4,2020,,,3,4,,Firts death in the Basque Country,"<p>The first person who died from coronavirus in the Basque Country was an 82-year-old man from Bizkaia with pneumonia. He was admitted to the Galdakao Hospital, he had chronic ailments. In the Basque Country that day there were already 21 infections, two in Gipuzkoa
","<a href=""blob:https://www.diariovasco.com/45ba00ab-e731-445b-aa9c-ecea8b211a09"">",,,,,,,
2020,3,9,2020,,,3,9,,Time to take action,"<p>Madrid decides to suspend classes for 15 days. They decide to delay surgical interventions in order to provide beds and units for patients in need of primary care. The reasons for adopting these measures are as follows: 578 infected and 17 dead. A 69-year-old woman is the first to die from coronavirus in Gipuzkoa. The victim was sick with cancer

",https://imagenes.heraldo.es/files/image_990_v1/uploads/imagenes/2020/05/04/mapa-del-coronavirus-en-espana.jpeg,,,,,,,
2020,3,11,2020,,,3,11,,Official: we are in a pandemic,"<p>WHO declares pandemic. Since the end of February, the numbers outside China have increased thirteenfold: more than 118,000 positives in 14 countries and a total number of deaths of 4,000. In Spain, the picture shows 200,000 infected and 55 dead
",https://static01.nyt.com/images/2020/03/11/science/11VIRUS-PANDEMIC/merlin_170354661_5100771d-2d52-4e35-9513-90de726a2a66-superJumbo.jpg,,,,,,,
2020,3,12,2020,,,3,12,,The Basque Country decides to suspend face-to-face classes,"<p>The Basque Department of Health has ordered Gipuzkoa and Bizkaia to stop face-to-face teaching. This means that 9000000 million students will have no classes in their schools for at least 15 days. However, bars and cinemas remain open and cultural events continue to be held. The situation, instead of getting better, is getting worse. As the hours tick by, rumours are growing that Spain will declare a State of Emergency
",https://estaticos-cdn.elperiodico.com/clip/d5980c60-f56b-4c96-9e17-104e3fb07b84_alta-libre-aspect-ratio_default_0.jpg,,,,,,,
2020,3,14,2020,,,3,14,,Spain declares the State of Alarm,"<p>The President of Spain, Pedro Sánchez, calls a press conference to make official the declaration of the State of Alarm and its subsequent confinement
",,,,,,,,
2020,3,28,2020,,,3,28,,The first two weeks of lockdown,"<p>After two weeks of confinement, the Spanish government decides to paralyse all non-essential activities for two weeks. Spain records 72,000 infected and 5,600 dead
",https://diariodealicante.net/wp-content/uploads/2020/10/cerrado-coronavirus-4.jpeg,,,,,,,
2020,4,26,2020,,,4,26,,"Children, take to the streets. De-escalation begins","<p>After six weeks of lockdown, more than 100,000 Gipuzkoan children under the age of 14, were finally able to go outside to play and take a walk in the open air accompanied by an adult and for one hour
",https://cadenaser00.epimg.net/ser/imagenes/2020/04/26/album/1587895488_257849_1587902302_album_normal.jpg,,,,,,,
2020,5,2,2020,,,5,2,,First days of the new freedom,"<p>With the beginning of May we started becoming familiar with terms such as de-escalation and time slots, which allowed us to go out in certain conditions to the streets for a walk or do sports
",https://e00-elmundo.uecdn.es/elmundo/2020/graficos/abr/s5/resumenalivio-470.jpg,,,,,,,
2020,5,25,2020,,,5,25,,Students return to the classroom,"<p>Euskadi’s study centres reopen their doors, especially, with the aim to prepare secondary school students for their university entrance exams
",https://static.elcorreo.com/www/multimedia/202006/01/media/cortadas/institutos01-kq5-U110366090427c3-624x385@El%20Correo.jpg,,,,,,,
2020,6,8,2020,,,6,8,,The Basque Country enters on the third phase of de-escalation,"<p>The Basque Country entered the third phase of the de-escalation and terraces and bars started repopulating little by little.The infections seemed to be minimal, although there were still outbreaks.",https://static3.diariovasco.com/www/multimedia/202006/05/media/cortadas/fasetres-kNHC-U110419718310IcG-624x385@Diario%20Vasco.jpg,,,,,,,
2020,6,19,2020,,,6,19,,New normality has arrived,"<p>Euskadi opens “the new normality” phase after concluding a state of alarm of 96 days. Among the new measures, we could find reduced capacities, a distance of 1.5 meters between citizens and masks, although they were not obligatory in all circumstances",,,,,,,,
